,RunId,iteration,Step,num_agents,num_supportive,stigma_level,support_effectiveness,acceptance_probability,refusal_gets_worse_probability,Average Depression,Mild Count,Moderate Count,Severe Count
0,1,0,50,50,10,0.1,0.1,0.3,0.5,0.78,23,15,12
1,12,0,50,50,10,0.1,0.1,0.9,0.3,0.64,28,12,10
2,5,0,50,50,10,0.1,0.1,0.5,0.5,0.78,24,13,13
3,15,0,50,50,10,0.1,0.1,0.9,0.9,0.84,21,16,13
4,2,0,50,50,10,0.1,0.1,0.3,0.7,0.98,18,15,17
5,7,0,50,50,10,0.1,0.1,0.5,0.9,0.96,18,16,16
6,10,0,50,50,10,0.1,0.1,0.7,0.7,0.9,20,15,15
7,4,0,50,50,10,0.1,0.1,0.5,0.3,0.92,18,18,14
8,8,0,50,50,10,0.1,0.1,0.7,0.3,0.78,25,11,14
9,9,0,50,50,10,0.1,0.1,0.7,0.5,0.64,28,12,10
10,11,0,50,50,10,0.1,0.1,0.7,0.9,0.78,23,15,12
11,0,0,50,50,10,0.1,0.1,0.3,0.3,0.84,21,16,13
12,13,0,50,50,10,0.1,0.1,0.9,0.5,0.46,34,9,7
13,6,0,50,50,10,0.1,0.1,0.5,0.7,0.58,30,11,9
14,3,0,50,50,10,0.1,0.1,0.3,0.9,1.2,13,14,23
15,14,0,50,50,10,0.1,0.1,0.9,0.7,0.86,21,15,14
16,19,0,50,50,10,0.1,0.3,0.3,0.9,1.16,10,22,18
17,18,0,50,50,10,0.1,0.3,0.3,0.7,0.9,18,19,13
18,20,0,50,50,10,0.1,0.3,0.5,0.3,0.64,26,16,8
19,22,0,50,50,10,0.1,0.3,0.5,0.7,0.68,25,16,9
20,23,0,50,50,10,0.1,0.3,0.5,0.9,0.84,21,16,13
21,17,0,50,50,10,0.1,0.3,0.3,0.5,0.92,17,20,13
22,31,0,50,50,10,0.1,0.3,0.9,0.9,0.82,26,7,17
23,24,0,50,50,10,0.1,0.3,0.7,0.3,0.4,36,8,6
24,25,0,50,50,10,0.1,0.3,0.7,0.5,0.42,35,9,6
25,21,0,50,50,10,0.1,0.3,0.5,0.5,0.7,27,11,12
26,28,0,50,50,10,0.1,0.3,0.9,0.3,0.52,32,10,8
27,26,0,50,50,10,0.1,0.3,0.7,0.7,0.62,29,11,10
28,30,0,50,50,10,0.1,0.3,0.9,0.7,0.7,28,9,13
29,29,0,50,50,10,0.1,0.3,0.9,0.5,0.38,38,5,7
30,27,0,50,50,10,0.1,0.3,0.7,0.9,0.68,22,22,6
31,16,0,50,50,10,0.1,0.3,0.3,0.3,0.44,34,10,6
32,35,0,50,50,10,0.1,0.5,0.3,0.9,1.2,15,10,25
33,32,0,50,50,10,0.1,0.5,0.3,0.3,0.58,29,13,8
34,34,0,50,50,10,0.1,0.5,0.3,0.7,0.76,26,10,14
35,33,0,50,50,10,0.1,0.5,0.3,0.5,0.72,27,10,13
36,36,0,50,50,10,0.1,0.5,0.5,0.3,0.46,32,13,5
37,43,0,50,50,10,0.1,0.5,0.7,0.9,0.46,33,11,6
38,37,0,50,50,10,0.1,0.5,0.5,0.5,0.66,28,11,11
39,39,0,50,50,10,0.1,0.5,0.5,0.9,0.88,20,16,14
40,40,0,50,50,10,0.1,0.5,0.7,0.3,0.64,31,6,13
41,41,0,50,50,10,0.1,0.5,0.7,0.5,0.36,37,8,5
42,45,0,50,50,10,0.1,0.5,0.9,0.5,0.36,39,4,7
43,46,0,50,50,10,0.1,0.5,0.9,0.7,0.42,34,11,5
44,38,0,50,50,10,0.1,0.5,0.5,0.7,0.7,27,11,12
45,42,0,50,50,10,0.1,0.5,0.7,0.7,0.5,30,15,5
46,47,0,50,50,10,0.1,0.5,0.9,0.9,0.46,34,9,7
47,44,0,50,50,10,0.1,0.5,0.9,0.3,0.24,41,6,3
48,49,0,50,50,10,0.1,0.7,0.3,0.5,0.9,24,7,19
49,48,0,50,50,10,0.1,0.7,0.3,0.3,0.64,26,16,8
50,53,0,50,50,10,0.1,0.7,0.5,0.5,0.8,26,8,16
51,50,0,50,50,10,0.1,0.7,0.3,0.7,1.04,19,10,21
52,52,0,50,50,10,0.1,0.7,0.5,0.3,0.54,31,11,8
53,54,0,50,50,10,0.1,0.7,0.5,0.7,0.94,20,13,17
54,56,0,50,50,10,0.1,0.7,0.7,0.3,0.36,36,10,4
55,51,0,50,50,10,0.1,0.7,0.3,0.9,1.2,14,12,24
56,60,0,50,50,10,0.1,0.7,0.9,0.3,0.34,38,7,5
57,59,0,50,50,10,0.1,0.7,0.7,0.9,0.74,25,13,12
58,55,0,50,50,10,0.1,0.7,0.5,0.9,1.02,17,15,18
59,58,0,50,50,10,0.1,0.7,0.7,0.7,0.46,34,9,7
60,57,0,50,50,10,0.1,0.7,0.7,0.5,0.54,33,7,10
61,61,0,50,50,10,0.1,0.7,0.9,0.5,0.32,40,4,6
62,62,0,50,50,10,0.1,0.7,0.9,0.7,0.44,35,8,7
63,63,0,50,50,10,0.1,0.7,0.9,0.9,0.42,37,5,8
64,68,0,50,50,10,0.1,0.9,0.5,0.3,0.64,30,8,12
65,65,0,50,50,10,0.1,0.9,0.3,0.5,0.58,28,15,7
66,64,0,50,50,10,0.1,0.9,0.3,0.3,0.58,32,7,11
67,66,0,50,50,10,0.1,0.9,0.3,0.7,1.06,17,13,20
68,69,0,50,50,10,0.1,0.9,0.5,0.5,0.58,32,7,11
69,74,0,50,50,10,0.1,0.9,0.7,0.7,0.8,24,12,14
70,71,0,50,50,10,0.1,0.9,0.5,0.9,1.0,20,10,20
71,67,0,50,50,10,0.1,0.9,0.3,0.9,1.14,16,11,23
72,70,0,50,50,10,0.1,0.9,0.5,0.7,0.8,24,12,14
73,75,0,50,50,10,0.1,0.9,0.7,0.9,0.54,29,15,6
74,76,0,50,50,10,0.1,0.9,0.9,0.3,0.4,34,12,4
75,72,0,50,50,10,0.1,0.9,0.7,0.3,0.34,37,9,4
76,73,0,50,50,10,0.1,0.9,0.7,0.5,0.44,36,6,8
77,77,0,50,50,10,0.1,0.9,0.9,0.5,0.3,40,5,5
78,79,0,50,50,10,0.1,0.9,0.9,0.9,0.62,30,9,11
79,78,0,50,50,10,0.1,0.9,0.9,0.7,0.26,42,3,5
80,81,0,50,50,10,0.3,0.1,0.3,0.5,0.9,20,15,15
81,80,0,50,50,10,0.3,0.1,0.3,0.3,0.76,23,16,11
82,83,0,50,50,10,0.3,0.1,0.3,0.9,1.08,12,22,16
83,82,0,50,50,10,0.3,0.1,0.3,0.7,1.06,19,9,22
84,87,0,50,50,10,0.3,0.1,0.5,0.9,0.84,19,20,11
85,84,0,50,50,10,0.3,0.1,0.5,0.3,0.66,28,11,11
86,86,0,50,50,10,0.3,0.1,0.5,0.7,0.84,21,16,13
87,85,0,50,50,10,0.3,0.1,0.5,0.5,0.86,20,17,13
88,89,0,50,50,10,0.3,0.1,0.7,0.5,0.66,26,15,9
89,88,0,50,50,10,0.3,0.1,0.7,0.3,0.56,31,10,9
90,90,0,50,50,10,0.3,0.1,0.7,0.7,0.9,21,13,16
91,92,0,50,50,10,0.3,0.1,0.9,0.3,0.88,21,14,15
92,91,0,50,50,10,0.3,0.1,0.7,0.9,0.76,23,16,11
93,93,0,50,50,10,0.3,0.1,0.9,0.5,0.72,27,10,13
94,94,0,50,50,10,0.3,0.1,0.9,0.7,0.76,28,6,16
95,95,0,50,50,10,0.3,0.1,0.9,0.9,0.6,27,16,7
96,97,0,50,50,10,0.3,0.3,0.3,0.5,0.72,27,10,13
97,96,0,50,50,10,0.3,0.3,0.3,0.3,0.68,30,6,14
